Type;Outlet Name;Location;Description
Newspaper;The Bowling Green Daily News;Bowling Green;Covers news in Bowling Green and south-central Kentucky. Kentucky
Newspaper;The Kentucky Standard;Bardstown;Focuses on news in Bardstown and Nelson County. Kentucky
Television;WLKY News;Louisville;CBS affiliate providing news, weather, and sports for Louisville and southern Indiana. WLKY
Television;WLEX-TV (LEX 18);Lexington;NBC affiliate offering local news coverage for Lexington and central Kentucky. Lex 18
Television;WKYT-TV;Lexington;CBS affiliate covering news in Lexington and eastern Kentucky. Kentucky
Television;WAVE 3 News;Louisville;NBC affiliate providing news coverage for Louisville and surrounding areas. Kentucky
Television;WBKO-TV;Bowling Green;ABC/Fox/CW affiliate serving Bowling Green and south-central Kentucky. Kentucky
Radio;Kentucky Public Radio;Statewide;NPR affiliate offering news and cultural programming across Kentucky. Kentucky
Radio;WHAS 840 AM;Louisville;News/talk radio station covering Louisville and the Ohio Valley region. Kentucky
Radio;WUKY 91.3 FM;Lexington;Public radio station providing news and information for central Kentucky. Kentucky
Radio;WKMS 91.3 FM;Murray;Public radio station serving western Kentucky and northwest Tennessee. Kentucky
Radio;WEKU 88.9 FM;Richmond;Public radio station offering news and cultural content for eastern Kentucky. Kentucky
Digital;Kentucky Today;Statewide;Online news platform covering Kentucky politics, business, and culture. Kentucky
Digital;Insider Louisville;Louisville;Digital publication focusing on business and civic news in Louisville. Kentucky
Digital;KyForward;Statewide;Online news source providing statewide news and commentary. Kentucky
Digital;Northern Kentucky Tribune;Northern Kentucky;Digital news outlet covering the Northern Kentucky region. Kentucky
Digital;The Lane Report;Statewide;Business and economic news publication serving Kentucky. Kentucky
Newspaper;The Times-Picayune;The New Orleans Advocate;New Orleans
Newspaper;The Advocate;Baton Rouge;Daily newspaper serving Baton Rouge and surrounding areas. Muck Rack
Newspaper;The Acadiana Advocate;Lafayette;Provides news coverage for the Acadiana region. Muck Rack
Newspaper;The Shreveport-Bossier City Advocate;Shreveport;Covers news in Shreveport, Bossier City, and northwest Louisiana. Muck Rack
Newspaper;The Daily Advertiser;Lafayette;Focuses on news in Lafayette and the Acadiana area. All You Can Read
Television;WWL-TV;New Orleans;CBS affiliate providing news, weather, and sports for New Orleans and southeast Louisiana. WWL-TV
Television;WAFB 9 News;Baton Rouge;CBS affiliate offering local news coverage for Baton Rouge and surrounding areas. All You Can Read
Television;KATC-TV;Lafayette;ABC affiliate serving the Acadiana region with news and weather updates. All You Can Read
Television;KSLA News 12;Shreveport;CBS affiliate covering news in Shreveport and northwest Louisiana. All You Can Read
Television;KPLC 7 News;Lake Charles;NBC affiliate providing news coverage for Lake Charles and southwest Louisiana. All You Can Read
Radio;Louisiana Public Broadcasting;Statewide;NPR affiliate offering news and cultural programming across Louisiana. LPB
Radio;WWNO 89.9 FM;New Orleans;Public radio station providing news and information for New Orleans and southeast Louisiana. LPB
Radio;WRKF 89.3 FM;Baton Rouge;Public radio station serving Baton Rouge and surrounding areas. LPB
Radio;KRVS 88.7 FM;Lafayette;Public radio station offering news and cultural content for the Acadiana region. LPB
Radio;KEDM 90.3 FM;Monroe;Public radio station serving northeast Louisiana. LPB
Digital;NOLA.com;New Orleans;Online platform for The Times-Picayune, providing comprehensive news coverage. Muck Rack
Digital;The Lens;New Orleans;Nonprofit news organization focusing on in-depth reporting in New Orleans. All You Can Read
Digital;Louisiana Illuminator;Statewide;Online news outlet covering Louisiana politics and policy. All You Can Read
Digital;The Current;Lafayette;Digital publication focusing on investigative journalism in Lafayette. All You Can Read
Digital;Shreveport Times;Shreveport;Online platform offering news for Shreveport and northwest Louisiana. All You Can Read
Newspaper;Portland Press Herald;Portland;Maine's largest daily newspaper, covering statewide news. Press Herald
Newspaper;Bangor Daily News;Bangor;Provides news coverage for Bangor and northern Maine. Press Herald
Newspaper;Kennebec Journal;Augusta;Focuses on news in Augusta and the Kennebec Valley. Press Herald
Newspaper;Morning Sentinel;Waterville;Covers news in Waterville and central Maine. Press Herald
Newspaper;Sun Journal;Lewiston;Serves Lewiston, Auburn, and the surrounding areas. Press Herald
Television;WCSH 6 (NEWS CENTER Maine);Portland;NBC affiliate providing news, weather, and sports for southern Maine. News Center Maine
Television;WLBZ 2 (NEWS CENTER Maine);Bangor;NBC affiliate offering local news coverage for northern and eastern Maine. News Center Maine
Television;WGME 13;Portland;CBS affiliate covering news in Portland and southern Maine. WGME
Television;WMTW 8;Portland;ABC affiliate providing news coverage for Portland and the Lakes Region. WMTW
Television;WVII 7 (ABC 7);Bangor;ABC affiliate serving Bangor and eastern Maine. WMTW
Radio;Maine Public;Statewide;NPR affiliate offering news and cultural programming across Maine. Maine Public
Radio;WGAN 560 AM;Portland;News/talk radio station covering Portland and southern Maine. Maine Public
Radio;WZON 620 AM;Bangor;News/talk radio station serving Bangor and central Maine. Maine Public
Radio;WMPG 90.9 FM;Portland;Community radio station offering diverse programming in southern Maine. Maine Public
Radio;WERU 89.9 FM;Blue Hill;Community radio station serving eastern Maine with news and music. Maine Public
Digital;Maine Public;Statewide;Online platform offering news and cultural content from Maine Public. Maine Public
Digital;The Bollard;Portland;Monthly magazine covering local news and arts in Portland. Wikipedia
Digital;Maine Trust for Local News;Statewide;Network of independent news outlets serving various regions in Maine. Metln
Digital;The Forecaster;Falmouth;Weekly newspaper covering southern Maine communities. Press Herald
Digital;The Times Record;Brunswick;Daily newspaper serving the Mid Coast region of Maine. Press Herald
Newspaper;The Baltimore Sun;Baltimore;Maryland's largest daily newspaper, covering local, regional, national, and international news. Wikipedia
Newspaper;The Washington Post;Washington, D.C.;Major daily newspaper covering the D.C. metro area, including Maryland. Wikipedia
Newspaper;The Capital Gazette;Annapolis;Provides news coverage for Annapolis and Anne Arundel County. Wikipedia
Newspaper;The Frederick News-Post;Frederick;Covers news in Frederick County and western Maryland. Wikipedia
Newspaper;The Daily Times;Salisbury;Focuses on news in Salisbury and the Eastern Shore. Wikipedia
Television;WBAL-TV 11;Baltimore;NBC affiliate providing news, weather, and sports for Baltimore and central Maryland. WBAL-TV
Television;WJZ-TV CBS Baltimore;Baltimore;CBS affiliate offering local news coverage for Baltimore and surrounding areas. CBS News
Television;WMAR-TV 2;Baltimore;ABC affiliate serving Baltimore with news and weather updates. WMAR 2 News
Television;WTTG FOX 5;Washington, D.C.;FOX affiliate covering news in the D.C. metro area, including Maryland. Fox 5 DC
Television;WUSA 9;Washington, D.C.;CBS affiliate providing news coverage for the D.C. metro area, including Maryland. NBC Washington
Radio;WTOP 103.5 FM;Washington, D.C.;News radio station covering the D.C. metro area, including Maryland. WTOP
Radio;WYPR 88.1 FM;Baltimore;NPR affiliate offering news and cultural programming across Maryland. CBS News
Radio;WBAL NewsRadio 1090 AM;Baltimore;News/talk radio station covering Baltimore and central Maryland. WBAL-TV
Radio;WAMU 88.5 FM;Washington, D.C.;NPR affiliate serving the D.C. metro area, including Maryland. CBS News
Radio;WEAA 88.9 FM;Baltimore;Public radio station offering news and jazz programming. CBS News
Digital;Maryland Matters;Statewide;Online news outlet covering Maryland politics and policy. Moco360
Digital;MoCo360;Montgomery County;Digital publication focusing on news in Montgomery County. Moco360
Digital;Baltimore Brew;Baltimore;Independent news website covering Baltimore city issues. Moco360
Digital;DCist;Washington, D.C.;Online news source covering the D.C. metro area, including Maryland. Moco360
Digital;Shore News Network;Eastern Shore;Online news outlet covering Maryland's Eastern Shore region. Shore News Network
Newspaper;The Boston Globe;Boston;Major daily newspaper covering Boston and statewide news. Boston
Newspaper;The Berkshire Eagle;Pittsfield;Daily newspaper serving Berkshire County and surrounding areas. Wikipedia
Newspaper;The Springfield Republican;Springfield;Provides news coverage for Springfield and western Massachusetts. Wikipedia
Newspaper;The Patriot Ledger;Quincy;Covers news in Quincy and the South Shore region. Wikipedia
Newspaper;The Cape Cod Times;Hyannis;Focuses on news in Cape Cod and the Islands. Wikipedia
Television;WBZ-TV (CBS Boston);Boston;CBS affiliate providing news, weather, and sports for the Boston area. CBS News
Television;WCVB Channel 5;Boston;ABC affiliate offering local news coverage for Boston and surrounding areas. WCVB
Television;WHDH 7News;Boston;Independent station covering news in Boston and New England. NBC Boston
Television;NBC10 Boston;Boston;NBC affiliate providing news coverage for Boston and eastern Massachusetts. NBC Boston
Television;Boston 25 News (WFXT);Boston;FOX affiliate offering news and weather updates for the Boston area. Boston 25 News
Radio;WBUR 90.9 FM;Boston;NPR affiliate offering news and cultural programming across Massachusetts. WBUR
Radio;WGBH 89.7 FM;Boston;Public radio station providing news and information for the Boston area. WBUR
Radio;WBZ NewsRadio 1030 AM;Boston;News/talk radio station covering Boston and New England. WBUR
Radio;WEEI 93.7 FM;Boston;Sports radio station serving the Boston area. WBUR
Radio;WCRB 99.5 FM;Lowell;Classical music station offering news and cultural content. WBUR
Digital;Boston.com;Boston;Online platform offering news, entertainment, and lifestyle content for Boston. Boston
Digital;MassLive;Statewide;Digital news outlet covering Massachusetts news and events. Boston
Digital;CommonWealth Magazine;Boston;Online publication focusing on Massachusetts politics and policy. Boston
Digital;Universal Hub;Boston;Community news website covering local events and issues in Boston. Boston
Digital;New England Public Media;Springfield;Provides news and cultural content for western Massachusetts and beyond. Boston
Newspaper;Detroit Free Press;Detroit;Major daily newspaper covering Detroit and statewide news. Click On Detroit
Newspaper;The Detroit News;Detroit;Provides news coverage for Detroit and southeastern Michigan. Click On Detroit
Newspaper;The Grand Rapids Press;Grand Rapids;Covers news in Grand Rapids and western Michigan. Click On Detroit
Newspaper;Lansing State Journal;Lansing;Focuses on news in Lansing and mid-Michigan. Click On Detroit
Newspaper;The Flint Journal;Flint;Serves Flint and the surrounding areas. Click On Detroit
Television;WDIV Local 4;Detroit;NBC affiliate providing news, weather, and sports for Detroit and southeastern Michigan. Click On Detroit
Television;WXYZ Channel 7;Detroit;ABC affiliate offering local news coverage for Detroit and surrounding areas. WXYZ
Television;FOX 2 Detroit;Detroit;FOX affiliate covering news in Detroit and southeastern Michigan. Fox 2 Detroit
Television;WOOD TV8;Grand Rapids;NBC affiliate providing news coverage for Grand Rapids and western Michigan. Click On Detroit
Television;WLNS 6 News;Lansing;CBS affiliate offering news and weather updates for Lansing and mid-Michigan. WLNS
Radio;WJR 760 AM;Detroit;News/talk radio station covering Detroit and southeastern Michigan. Click On Detroit
Radio;WWJ Newsradio 950;Detroit;All-news radio station serving Detroit and the surrounding areas. Click On Detroit
Radio;Michigan Radio;Statewide;NPR affiliate offering news and cultural programming across Michigan. Click On Detroit
Radio;WDET 101.9 FM;Detroit;Public radio station providing news and information for Detroit. Click On Detroit
Radio;WKAR 90.5 FM;East Lansing;Public radio station serving Lansing and mid-Michigan. Click On Detroit
Digital;MLive.com;Statewide;Online platform offering news, entertainment, and sports coverage for Michigan. Click On Detroit
Digital;Bridge Michigan;Statewide;Nonprofit news organization focusing on Michigan politics and policy. Click On Detroit
Digital;Detroit Metro Times;Detroit;Alternative weekly covering news, arts, and culture in Detroit. Click On Detroit
Digital;Crain's Detroit Business;Detroit;Business news publication serving Detroit and southeastern Michigan. Click On Detroit
Digital;The Michigan Daily;Ann Arbor;Student-run newspaper of the University of Michigan, covering campus and local news. Click On Detroit
Newspaper;Star Tribune;Minneapolis;Minnesota's largest daily newspaper, covering statewide news. Agility PR
Newspaper;St. Paul Pioneer Press;St. Paul;Daily newspaper serving St. Paul and the Twin Cities metro area. Agility PR
Newspaper;Duluth News Tribune;Duluth;Provides news coverage for Duluth and northeastern Minnesota. Agility PR
Newspaper;Rochester Post-Bulletin;Rochester;Covers news in Rochester and southeastern Minnesota. Agility PR
Newspaper;Mankato Free Press;Mankato;Focuses on news in Mankato and south-central Minnesota. Agility PR
Television;KARE 11;Minneapolis;NBC affiliate providing news, weather, and sports for the Twin Cities and greater Minnesota. KARE 11
Television;WCCO-TV;Minneapolis;CBS affiliate offering local news coverage for Minneapolis, St. Paul, and surrounding areas. CBS News
Television;KSTP-TV;St. Paul;ABC affiliate serving the Twin Cities with news and weather updates. KSTP
Television;FOX 9 KMSP-TV;Minneapolis;FOX affiliate covering news in Minneapolis, St. Paul, and the Twin Cities metro area. KARE 11
Television;KTTC-TV;Rochester;NBC affiliate providing news coverage for Rochester and southeastern Minnesota. KARE 11
Radio;Minnesota Public Radio (MPR);Statewide;NPR affiliate offering news and cultural programming across Minnesota. NewsMap
Radio;WCCO Radio 830 AM;Minneapolis;News/talk radio station covering Minneapolis, St. Paul, and greater Minnesota. CBS News
Radio;KMOJ 89.9 FM;Minneapolis;Community radio station serving the Twin Cities with urban and cultural programming. KARE 11
Radio;KNOW 91.1 FM;Minneapolis;MPR News station providing news and information for the Twin Cities. NewsMap
Radio;KAXE 91.7 FM;Grand Rapids;Community radio station serving northern Minnesota with news and music. KARE 11
Digital;MinnPost;Minneapolis;Nonprofit news organization focusing on in-depth reporting in Minnesota. MinnPost
Digital;Bring Me The News;Minneapolis;Online news platform covering Minnesota news, sports, and entertainment. KARE 11
Digital;Twin Cities Pioneer Press;St. Paul;Digital platform offering news for St. Paul and the Twin Cities metro area. Agility PR
Digital;City Pages;Minneapolis;Alternative weekly covering news, arts, and culture in the Twin Cities. KARE 11
Digital;The Rake;Minneapolis;Online magazine focusing on Minnesota culture and lifestyle. KARE 11
Newspaper;The Clarion-Ledger;Jackson;Major daily newspaper covering Jackson and statewide news. Wikipedia
Newspaper;Sun Herald;Biloxi;Provides news coverage for Biloxi, Gulfport, and the Mississippi Gulf Coast. Sun Herald
Newspaper;Northeast Mississippi Daily Journal;Tupelo;Covers news in Tupelo and northeastern Mississippi. Wikipedia
Newspaper;The Commercial Dispatch;Columbus;Focuses on news in Columbus and the Golden Triangle area. Wikipedia
Newspaper;Hattiesburg American;Hattiesburg;Serves Hattiesburg and the Pine Belt region. Wikipedia
Television;WJTV 12 News;Jackson;CBS affiliate providing news, weather, and sports for Jackson and central Mississippi. WJTV
Television;WLBT 3 News;Jackson;NBC affiliate offering local news coverage for Jackson and surrounding areas. WJTV
Television;WAPT 16 News;Jackson;ABC affiliate serving Jackson with news and weather updates. WAPT
Television;WLOX News;Biloxi;ABC/CBS affiliate covering news in Biloxi, Gulfport, and the Mississippi Gulf Coast. WJTV
Television;WDAM 7 News;Hattiesburg;NBC/ABC affiliate providing news coverage for Hattiesburg and the Pine Belt region. WJTV
Radio;Mississippi Public Broadcasting (MPB);Statewide;NPR affiliate offering news and cultural programming across Mississippi. MPB Online
Radio;SuperTalk Mississippi;Statewide;Statewide radio network providing news, talk, and sports programming. Supertalk
Radio;WJMI 99.7 FM;Jackson;Urban contemporary radio station serving the Jackson area. WJTV
Radio;WMPN 91.3 FM;Jackson;MPB Think Radio station offering news and talk programming. MPB Online
Radio;WPRL 91.7 FM;Lorman;Public radio station serving Alcorn State University and surrounding areas. WJTV
Digital;Mississippi Today;Statewide;Nonprofit news organization focusing on in-depth reporting in Mississippi. Mississippi Today
Digital;Darkhorse Press;Statewide;Online news outlet covering crime and justice in Mississippi. Wikipedia
Digital;Jackson Free Press;Jackson;Alternative weekly covering news, arts, and culture in Jackson. Jackson Free Press
Digital;Y'all Politics;Statewide;Online platform focusing on Mississippi politics and government. WJTV
Digital;Magnolia State Live;Statewide;Digital news outlet covering statewide news and events. WJTV
Newspaper;St. Louis Post-Dispatch;St. Louis;Major daily newspaper covering St. Louis and statewide news. Muck Rack
Newspaper;Kansas City Star;Kansas City;Provides news coverage for Kansas City and western Missouri. Muck Rack
Newspaper;Springfield News-Leader;Springfield;Covers news in Springfield and southwestern Missouri. Muck Rack
Newspaper;Columbia Daily Tribune;Columbia;Focuses on news in Columbia and central Missouri. Muck Rack
Newspaper;Jefferson City News Tribune;Jefferson City;Serves Jefferson City and the surrounding areas. Muck Rack
Television;KSDK 5 On Your Side;St. Louis;NBC affiliate providing news, weather, and sports for St. Louis and eastern Missouri. Wikipedia
Television;KMBC 9 News;Kansas City;ABC affiliate offering local news coverage for Kansas City and surrounding areas. Wikipedia
Television;KYTV 3;Springfield;NBC affiliate covering news in Springfield and southwestern Missouri. Wikipedia
Television;KOMU 8;Columbia;NBC affiliate providing news coverage for Columbia and central Missouri. Wikipedia
Television;KRCG 13;Jefferson City;CBS affiliate offering news and weather updates for Jefferson City and mid-Missouri. Wikipedia
Radio;KMOX 1120 AM;St. Louis;News/talk radio station covering St. Louis and eastern Missouri. Muck Rack
Radio;KCUR 89.3 FM;Kansas City;NPR affiliate offering news and cultural programming across Kansas City and western Missouri. Muck Rack
Radio;KSMU 91.1 FM;Springfield;Public radio station providing news and information for Springfield and southwestern Missouri. Muck Rack
Radio;KBIA 91.3 FM;Columbia;NPR affiliate serving Columbia and central Missouri. Muck Rack
Radio;KWOS 950 AM;Jefferson City;News/talk radio station covering Jefferson City and mid-Missouri. Muck Rack
Digital;STLtoday.com;St. Louis;Online platform offering news, entertainment, and sports coverage for St. Louis. Muck Rack
Digital;KansasCity.com;Kansas City;Digital news outlet covering Kansas City news and events. Muck Rack
Digital;SpringfieldNews-Leader.com;Springfield;Online publication focusing on news in Springfield and southwestern Missouri. Muck Rack
Digital;ColumbiaMissourian.com;Columbia;Digital platform offering news for Columbia and central Missouri. Muck Rack
Digital;NewsTribune.com;Jefferson City;Online news outlet covering Jefferson City and the surrounding areas. Muck Rack
Newspaper;Billings Gazette;Billings;Major daily newspaper covering Billings and eastern Montana. Montana Free Press
Newspaper;Missoulian;Missoula;Provides news coverage for Missoula and western Montana. Montana Free Press
Newspaper;Great Falls Tribune;Great Falls;Covers news in Great Falls and north-central Montana. Montana Free Press
Newspaper;Helena Independent Record;Helena;Focuses on news in Helena and the surrounding areas. Montana Free Press
Newspaper;Bozeman Daily Chronicle;Bozeman;Serves Bozeman and the Gallatin Valley region. Montana Free Press
Television;KTVQ (Q2 News);Billings;CBS affiliate providing news, weather, and sports for Billings and eastern Montana. KTVQ
Television;KPAX News;Missoula;CBS affiliate offering local news coverage for Missoula and western Montana. KPAX
Television;KRTV News;Great Falls;CBS affiliate covering news in Great Falls and north-central Montana. Montana Free Press
Television;KXLH News;Helena;CBS affiliate providing news coverage for Helena and the surrounding areas. KXLH
Television;KBZK News;Bozeman;CBS affiliate offering news and weather updates for Bozeman and southwestern Montana. KBZK
Radio;Montana Public Radio (MTPR);Statewide;NPR affiliate offering news and cultural programming across Montana. Montana Public Radio
Radio;Northern Broadcasting System;Billings;Network providing news, agriculture, and sports programming across Montana. Montana Free Press
Radio;KGVO 1290 AM;Missoula;News/talk radio station covering Missoula and western Montana. Montana Free Press
Radio;KMON 560 AM;Great Falls;News/talk radio station serving Great Falls and north-central Montana. Montana Free Press
Radio;KMTX 950 AM;Helena;News/talk radio station covering Helena and the surrounding areas. Montana Free Press
Digital;Montana Free Press;Statewide;Nonprofit news organization focusing on in-depth reporting in Montana. Montana Free Press
Digital;Missoula Current;Missoula;Online news outlet covering Missoula and western Montana. Montana Free Press
Digital;Big Sky Headlines;Statewide;Digital platform offering news and opinion pieces relevant to Montana. Montana Free Press
Digital;Flathead Beacon;Kalispell;Online publication focusing on news in Kalispell and the Flathead Valley. Montana Free Press
Digital;Yellowstone County News;Billings;Digital news outlet covering Billings and Yellowstone County. Montana Free Press
Newspaper;Omaha World-Herald;Omaha;Major daily newspaper covering Omaha and statewide news. Wikipedia
Newspaper;Lincoln Journal Star;Lincoln;Provides news coverage for Lincoln and southeastern Nebraska. Nebraska Public Media
Newspaper;The Grand Island Independent;Grand Island;Covers news in Grand Island and central Nebraska. Nebraska Public Media
Newspaper;Kearney Hub;Kearney;Focuses on news in Kearney and the surrounding areas. Nebraska Public Media
Newspaper;Scottsbluff Star-Herald;Scottsbluff;Serves Scottsbluff and the Nebraska Panhandle region. Nebraska Public Media
Television;KETV NewsWatch 7;Omaha;ABC affiliate providing news, weather, and sports for Omaha and eastern Nebraska. KETV
Television;WOWT 6 News;Omaha;NBC affiliate offering local news coverage for Omaha and surrounding areas. Nebraska Public Media
Television;KMTV 3 News Now;Omaha;CBS affiliate covering news in Omaha and eastern Nebraska. 3 News Now
Television;KLKN-TV Channel 8;Lincoln;ABC affiliate providing news coverage for Lincoln and southeastern Nebraska. KLKN TV
Television;KHGI Nebraska TV;Kearney;ABC affiliate offering news and weather updates for central and southwestern Nebraska. Nebraska.tv
Radio;Nebraska Public Media;Statewide;NPR affiliate offering news and cultural programming across Nebraska. Nebraska Public Media
Radio;KFAB 1110 AM;Omaha;News/talk radio station covering Omaha and eastern Nebraska. Nebraska Public Media
Radio;KLIN 1400 AM;Lincoln;News/talk radio station serving Lincoln and southeastern Nebraska. Nebraska Public Media
Radio;KRVN 880 AM;Lexington;Rural radio network providing news and agricultural programming across Nebraska. Nebraska Public Media
Radio;NET Radio;Statewide;Public radio network offering news and cultural content throughout Nebraska. Nebraska Public Media
Digital;Omaha.com;Omaha;Online platform offering news, entertainment, and sports coverage for Omaha. Nebraska Public Media
Digital;JournalStar.com;Lincoln;Digital news outlet covering Lincoln news and events. Nebraska Public Media
Digital;Nebraska Examiner;Statewide;Nonprofit news organization focusing on in-depth reporting in Nebraska. Nebraska Public Media
Digital;Flatwater Free Press;Statewide;Online publication dedicated to investigative journalism in Nebraska. Nebraska Public Media
Digital;News Channel Nebraska;Statewide;Digital platform offering news and information across Nebraska. News Channel Nebraska
Newspaper;Las Vegas Review-Journal;Las Vegas;Major daily newspaper covering Las Vegas and statewide news. Review Journal
Newspaper;Reno Gazette-Journal;Reno;Provides news coverage for Reno and northern Nevada. Las Vegas Sun
Newspaper;Las Vegas Sun;Las Vegas;Daily newspaper serving Las Vegas and the surrounding areas. Las Vegas Sun
Newspaper;Nevada Appeal;Carson City;Covers news in Carson City and western Nevada. Las Vegas Sun
Newspaper;Elko Daily Free Press;Elko;Focuses on news in Elko and northeastern Nevada. Las Vegas Sun
Television;KLAS-TV (8 News Now);Las Vegas;CBS affiliate providing news, weather, and sports for Las Vegas and southern Nevada. 8 News Now
Television;KTNV-TV (Channel 13);Las Vegas;ABC affiliate offering local news coverage for Las Vegas and surrounding areas. KTNV
Television;KSNV (News 3);Las Vegas;NBC affiliate covering news in Las Vegas and southern Nevada. News 3 LV
Television;KRNV (News 4);Reno;NBC affiliate providing news coverage for Reno and northern Nevada. Las Vegas Sun
Television;KOLO-TV (Channel 8);Reno;ABC affiliate offering news and weather updates for Reno and northern Nevada. Las Vegas Sun
Radio;KNPR 88.9 FM;Las Vegas;NPR affiliate offering news and cultural programming across southern Nevada. Las Vegas Sun
Radio;KUNR 88.7 FM;Reno;NPR affiliate serving Reno and northern Nevada. Las Vegas Sun
Radio;KXNT 840 AM;Las Vegas;News/talk radio station covering Las Vegas and southern Nevada. Las Vegas Sun
Radio;KKOH 780 AM;Reno;News/talk radio station serving Reno and northern Nevada. Las Vegas Sun
Radio;KCEP 88.1 FM;Las Vegas;Urban contemporary radio station covering Las Vegas and surrounding areas. Las Vegas Sun
Digital;Nevada Independent;Statewide;Nonprofit news organization focusing on in-depth reporting in Nevada. Las Vegas Sun
Digital;This Is Reno;Reno;Online news outlet covering Reno and northern Nevada. This Is Reno
Digital;Las Vegas Weekly;Las Vegas;Digital publication focusing on news, entertainment, and culture in Las Vegas. Las Vegas Sun
Digital;Carson Now;Carson City;Online platform offering news and information for Carson City and surrounding areas. Las Vegas Sun
Digital;Elko Daily Free Press Online;Elko;Digital news outlet covering Elko and northeastern Nevada. Las Vegas Sun
Newspaper;The Union Leader;Manchester;Major daily newspaper covering Manchester and statewide news. Agility PR
Newspaper;Concord Monitor;Concord;Daily newspaper serving Concord and central New Hampshire. Concord Monitor
Newspaper;The Keene Sentinel;Keene;Covers news in Keene and the Monadnock region. Agility PR
Newspaper;Portsmouth Herald;Portsmouth;Focuses on news in Portsmouth and the Seacoast area. Agility PR
Newspaper;The Telegraph;Nashua;Serves Nashua and southern New Hampshire. Agility PR
Television;WMUR-TV (Channel 9);Manchester;ABC affiliate providing news, weather, and sports for New Hampshire. WMUR
Television;NH1 News;Concord;Offers local news coverage for New Hampshire. The Pulse of NH
Television;WBIN-TV;Derry;Independent station covering news in southern New Hampshire. Agility PR
Television;WENH-TV (NH PBS);Durham;Public television station offering educational and cultural programming. Agility PR
Television;WBTS-CD (NBC Boston);Boston, MA;NBC affiliate serving parts of southern New Hampshire. Agility PR
Radio;New Hampshire Public Radio (NHPR);Statewide;NPR affiliate offering news and cultural programming across New Hampshire. New Hampshire Public Radio
Radio;WZID 95.7 FM;Manchester;Adult contemporary radio station covering Manchester and surrounding areas. Agility PR
Radio;WOKQ 97.5 FM;Dover;Country music station serving the Seacoast region. Agility PR
Radio;WGIR 610 AM;Manchester;News/talk radio station covering Manchester and central New Hampshire. Agility PR
Radio;WNHN 94.7 FM;Concord;Community radio station offering diverse programming. Agility PR
Digital;Patch New Hampshire;Statewide;Online platform offering hyperlocal news for various New Hampshire communities. Patch
Digital;InDepthNH.org;Statewide;Nonprofit news outlet focusing on investigative journalism in New Hampshire. Agility PR
Digital;Manchester Ink Link;Manchester;Online news source covering Manchester and surrounding areas. Agility PR
Digital;Seacoast Online;Portsmouth;Digital platform offering news for Portsmouth and the Seacoast region. Agility PR
Digital;NH Business Review;Statewide;Provides business news and analysis for New Hampshire. Agility PR
Newspaper;The Star-Ledger;Newark;New Jersey's largest daily newspaper, covering statewide news. New York Post
Newspaper;The Record;Bergen County;Daily newspaper serving Bergen County and northern New Jersey. Agility PR
Newspaper;Courier-Post;Cherry Hill;Daily newspaper covering South Jersey, including Camden and Burlington counties. Agility PR
Newspaper;Asbury Park Press;Neptune;Daily newspaper serving the Jersey Shore region. Agility PR
Newspaper;The Times of Trenton;Trenton;Daily newspaper covering Trenton and central New Jersey. Agility PR
Television;News 12 New Jersey;Statewide;24-hour cable news channel providing statewide news coverage. News 12 New Jersey
Television;NJTV News;Statewide;Public television network offering news and public affairs programming. Agility PR
Television;CBS New York;New York, NY;CBS affiliate covering New York City and northern New Jersey. CBS News
Television;ABC 7 Eyewitness News;New York, NY;ABC affiliate providing news coverage for New York City and northern New Jersey. Agility PR
Television;NBC 4 New York;New York, NY;NBC affiliate covering New York City and northern New Jersey. Agility PR
Radio;WBGO 88.3 FM;Newark;Public radio station specializing in jazz and news programming. Agility PR
Radio;New Jersey 101.5 FM;Trenton;Talk radio station covering news, traffic, and weather across New Jersey. Agility PR
Radio;WNYC 93.9 FM;New York, NY;Public radio station offering news and cultural programming, serving parts of New Jersey. Agility PR
Radio;WCBS Newsradio 880;New York, NY;All-news radio station covering New York City and northern New Jersey. Agility PR
Radio;WINS 1010 AM;New York, NY;All-news radio station serving New York City and northern New Jersey. Agility PR
Digital;NJ.com;Statewide;Online news platform affiliated with The Star-Ledger and other local newspapers. Wikipedia
Digital;TAPinto;Statewide;Network of hyperlocal news websites covering various New Jersey communities. Wikipedia
Digital;RLS Media;Newark;Online news outlet focusing on breaking news and community stories in New Jersey. RLS Media
Digital;Patch New Jersey;Statewide;Online platform offering hyperlocal news for various New Jersey communities. Agility PR
Digital;Insider NJ;Statewide;Digital news outlet covering New Jersey politics and government. Agility PR
Newspaper;Albuquerque Journal;Albuquerque;New Mexico's largest daily newspaper, covering Albuquerque and statewide news.
Newspaper;Santa Fe New Mexican;Santa Fe;Daily newspaper serving Santa Fe and northern New Mexico.
Newspaper;Las Cruces Sun-News;Las Cruces;Daily newspaper covering Las Cruces and southern New Mexico.
Newspaper;The Taos News;Taos;Weekly newspaper focusing on news in Taos and surrounding areas.
Newspaper;Roswell Daily Record;Roswell;Daily newspaper serving Roswell and southeastern New Mexico.
Television;KRQE News 13;Albuquerque;CBS affiliate providing news, weather, and sports for Albuquerque and central New Mexico. KRQE
Television;KOB 4;Albuquerque;NBC affiliate offering local news coverage for Albuquerque and northern New Mexico. KOB 4
Television;KOAT Action 7 News;Albuquerque;ABC affiliate covering news in Albuquerque and central New Mexico. KOAT
